#,player,gp-gs,g,a,pts,sh,sh%,sog,sog%,gwg,fpg,fps,gb,to,ct,dc,fouls,rc-yc-gc
44,Player A,19-19,30,46,76,77,0.39,55,0.714,1,3,9,6,41,2,0,9,0-1-0
24,Player B,19-18,32,11,43,72,0.444,57,0.792,4,9,11,6,16,5,8,6,0-3-7
5,Player C,19-18,34,7,41,71,0.479,55,0.775,2,12,24,27,31,9,13,8,0-1-1
19,Player D,19-14,20,10,30,41,0.488,33,0.805,0,3,7,8,16,0,1,2,0-0-1
11,Player E,19-10,21,6,27,46,0.457,35,0.761,0,9,14,25,27,13,31,26,0-3-0
47,Player F,19-13,21,2,23,50,0.42,38,0.76,1,4,10,11,26,10,24,29,0-0-5
33,Player G,19-13,16,4,20,46,0.348,29,0.63,0,0,5,23,8,11,39,30,0-2-4
22,Player H,19-0,14,5,19,34,0.412,23,0.676,0,0,0,15,14,8,13,15,0-2-1
1,Player I,3-Mar,10,6,16,18,0.556,13,0.722,1,1,1,2,7,1,5,1,0-0-1
21,Player J,8-Dec,14,2,16,31,0.452,22,0.71,0,2,4,5,10,1,0,2,0-1-2
18,Player K,15-5,3,9,12,12,0.25,9,0.75,0,0,1,8,7,2,0,4,0-0-1
72,Player L,19-13,8,2,10,12,0.667,11,0.917,0,1,2,22,11,13,11,14,0-0-4
12,Player M,15-0,6,1,7,13,0.462,9,0.692,1,0,1,1,4,0,1,0,0-0-3
2,Player N,Mar-00,2,1,3,3,0.667,3,1,0,0,1,1,1,0,0,0,0-1-3
6,Player O,Jun-00,1,0,1,3,0.333,2,0.667,0,0,0,0,2,0,0,0,0-0-0
20,Player P,May-00,1,0,1,1,1,1,1,0,0,0,1,0,0,0,2,0-0-0
28,Player Q,17-9,1,0,1,3,0.333,2,0.667,0,0,0,1,4,0,75,17,0-0-1
0,Player R,19-19,0,0,0,0,0,0,0,0,0,0,28,8,2,0,0,0-0-0
4,Player S,19-19,0,0,0,2,0,1,0.5,0,0,0,34,5,12,13,51,0-1-3
7,Player T,3-Dec,0,0,0,0,0,0,0,0,0,0,6,2,2,0,15,0-0-1
8,Player U,8-Aug,0,0,0,1,0,1,1,0,0,0,5,2,1,1,16,0-2-0
9,Player V,2-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0-1-1
15,Player W,May-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0-1-0
16,Player X,19-18,0,0,0,0,0,0,0,0,0,0,34,3,40,1,51,0-1-0
17,Player Y,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0-0
25,Player Z,1-May,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0-1-0
27,Player AA,2-Jun,0,0,0,2,0,2,1,0,0,0,7,1,8,1,9,0-1-1
30,Player AB,16-13,0,0,0,0,0,0,0,0,0,0,14,7,13,2,46,0-1-0
34,Player AC,Apr-00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0-0
35,Player AD,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0-0
45,Player AE,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0-0
88,Player AF,Mar-00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0-0
  ,Total,19,235,112,347,538,0.437,402,0.747,10,44,90,295,270,153,240,373,0-23-400
  ,,,,,,,,,,,,,,,,,,
